company,eps_growth,debt_ratio,volume_spike,ceo_sentiment,fraud_risk
Thompson-Lindsey,0.127,0.4,0.04,0.79,0.0
Smith-Day,0.628,0.42,0.02,0.25,0.0
Chandler-Sullivan,0.136,0.56,0.38,0.95,0.0
"Fry, Ortiz and Thomas",0.22,0.53,0.12,-0.07,1.0
Dunn LLC,0.193,0.59,0.38,0.69,0.0
Gonzalez-Clark,0.148,0.71,0.45,-0.88,0.0
"Brown, Robbins and Castro",0.003,0.75,0.01,-0.33,0.0
"Lee, Boyer and Donaldson",0.164,0.67,0.43,-0.87,0.0
"Wilson, Tate and Walker",-0.066,0.86,0.12,0.95,1.0
"Rodriguez, Reyes and Williams",0.014,0.11,0.14,0.63,0.0
Barnes Ltd,-0.023,0.26,0.2,0.71,0.0
Taylor-Jones,0.062,0.11,0.52,0.88,0.0
Brock Inc,0.397,0.62,0.0,-0.83,0.0
"Moss, Ramos and Smith",-0.23,0.82,0.13,-0.23,0.0
"Thompson, Schwartz and Patel",0.153,0.29,0.23,-0.86,0.0
"Thomas, Cohen and Mercado",-0.192,0.84,0.26,-0.58,1.0
Murphy-Hooper,-0.021,0.15,0.24,-0.54,0.0
Miller Group,0.213,0.85,0.03,-0.06,0.0
"Andrews, Fisher and Walter",0.06,0.38,0.07,-0.46,0.0
Miles Group,-0.112,0.18,0.09,-0.8,0.0
Kelley Inc,-0.057,0.49,0.33,-0.67,0.0
Estrada Inc,0.152,0.31,0.07,-0.71,0.0
Greer-Hubbard,-0.06,0.33,0.05,0.95,0.0
Chung PLC,0.082,0.35,0.63,0.52,0.0
Riggs Ltd,0.057,0.74,0.0,0.94,0.0
"Gallagher, Hill and Munoz",-0.048,0.53,1.23,-0.12,0.0
Marks Inc,0.372,0.35,0.23,-0.44,0.0
"Reed, Hopkins and Gonzalez",0.145,0.59,0.35,0.6,0.0
"Fox, Lamb and Ayala",-0.254,0.67,0.07,-0.35,0.0
"Stevenson, Whitaker and Martinez",0.078,0.32,0.0,-0.4,0.0
"Allen, Smith and Mcclain",-0.049,0.43,0.27,-0.53,0.0
"Miller, White and Cameron",0.178,0.2,0.36,-0.74,0.0
"Strong, Santiago and Macdonald",-0.069,0.24,0.27,-0.49,0.0
"Lynch, Gonzalez and Estrada",0.033,0.64,0.03,-0.29,0.0
"Roach, Gutierrez and Taylor",0.126,0.25,0.28,0.35,1.0
Hansen LLC,0.18,0.52,0.29,-0.87,1.0
"Dunn, Calderon and Pitts",-0.13,0.67,0.21,-0.58,0.0
Garcia LLC,-0.0,0.19,0.29,0.62,0.0
"Howard, Patel and Hodges",-0.021,0.55,0.37,-0.71,0.0
Rowland Group,-0.048,0.31,0.19,-0.31,0.0
Webster-Smith,0.315,0.87,0.02,0.73,0.0
Bailey-Thomas,0.111,0.49,0.13,-0.69,0.0
Johnson-Stanley,-0.139,0.74,0.02,-0.83,1.0
Bryant-Sutton,0.188,0.54,0.1,-0.03,0.0
"Vazquez, Mitchell and Myers",0.368,0.13,0.1,-0.4,0.0
Knight-Smith,0.205,0.61,0.01,0.13,0.0
"Sanders, Cunningham and Huynh",-0.178,0.86,0.09,0.61,0.0
Mclaughlin Ltd,-0.023,0.58,0.02,-0.73,1.0
Thomas-Obrien,0.24,0.76,0.33,0.16,0.0
"Richard, Giles and Maldonado",-0.056,0.81,0.59,0.01,0.0
"Diaz, Murray and Yates",0.117,0.28,0.02,-0.71,0.0
Morales-Romero,0.166,0.27,0.62,0.25,0.0
Lynch Inc,-0.089,0.59,0.15,-0.45,0.0
Tran-Watkins,0.041,0.43,0.07,-0.02,0.0
Smith-Curtis,-0.436,0.77,0.02,-0.84,0.0
Jimenez-Shaffer,-0.104,0.82,0.14,-0.08,0.0
"Ellison, Hayes and Marquez",0.012,0.38,0.32,-0.39,0.0
Smith Ltd,-0.137,0.29,0.25,0.64,0.0
Chavez Inc,0.295,0.72,0.01,-0.89,0.0
Johnson and Sons,-0.165,0.32,0.02,-0.16,1.0
"White, Figueroa and Wong",-0.016,0.76,0.1,-0.08,0.0
"Yoder, Doyle and Mcconnell",0.07,0.44,0.07,0.45,0.0
"Brown, Kaiser and Stanley",0.266,0.63,0.05,0.15,0.0
"Erickson, Lopez and Cruz",-0.165,0.18,0.07,0.33,0.0
"Nelson, Singh and Torres",0.224,0.6,0.33,0.55,0.0
Williams-Hall,0.052,0.46,0.53,0.72,0.0
"Long, Lopez and Mckee",-0.097,0.57,0.1,-0.37,0.0
Dominguez PLC,0.119,0.23,0.47,0.08,0.0
Mueller PLC,0.08,0.69,0.08,0.68,0.0
Roman-Love,-0.04,0.79,0.13,0.98,0.0
Chan Inc,0.06,0.27,0.05,0.78,0.0
"Rodriguez, Schwartz and Knight",-0.008,0.18,0.2,-0.26,0.0
Hansen PLC,0.067,0.12,0.77,-0.61,0.0
Carr Group,0.149,0.61,0.19,-0.02,0.0
Sherman Group,0.288,0.59,0.09,0.48,0.0
"Rice, Smith and Holt",-0.136,0.54,0.21,-0.01,0.0
Mccormick-Mcmillan,0.37,0.29,0.03,-0.03,0.0
Tate PLC,-0.243,0.41,0.44,0.68,0.0
Rivera Ltd,0.027,0.58,0.14,-0.28,0.0
Carlson Inc,0.138,0.5,0.12,0.72,0.0
"Davis, Henderson and Bartlett",0.092,0.89,0.18,-0.19,0.0
Porter Inc,-0.043,0.21,0.2,-0.34,0.0
Olson PLC,0.019,0.66,0.01,-0.09,0.0
Gibson Inc,-0.024,0.42,0.23,0.52,0.0
Lane-Stewart,-0.038,0.44,0.06,-0.75,0.0
Oliver Group,0.177,0.67,0.25,-0.61,0.0
"Davis, Horton and Reeves",0.104,0.65,0.35,0.9,0.0
"Campbell, Skinner and Matthews",-0.054,0.89,0.33,-0.65,0.0
Holmes PLC,0.185,0.2,0.16,0.14,0.0
Robbins and Sons,0.096,0.18,0.15,0.16,0.0
"Blair, Riley and Green",0.172,0.68,0.03,-0.02,0.0
"Wright, Carter and Logan",0.144,0.56,0.3,0.29,0.0
Stewart and Sons,-0.074,0.32,0.06,-0.54,0.0
Wilson Group,-0.034,0.16,0.14,0.11,0.0
Lopez-Edwards,0.162,0.17,0.07,-0.26,0.0
Taylor-Williams,0.142,0.82,0.03,0.32,0.0
Brown and Sons,0.047,0.25,0.2,-0.72,0.0
Perkins Ltd,0.068,0.36,0.01,0.14,0.0
Moss and Sons,0.242,0.28,0.28,-0.63,0.0
Livingston Inc,-0.039,0.38,0.08,-0.44,0.0
Cummings-Williams,0.132,0.16,0.0,-0.56,0.0
"Walters, Dixon and Roberts",0.02,0.52,0.14,-0.63,0.0
Maddox-Thomas,0.017,0.15,0.01,0.65,0.0
Green PLC,0.215,0.74,0.06,-0.43,0.0
Gonzales-Spence,0.174,0.29,0.25,0.85,0.0
Wagner LLC,0.172,0.53,0.01,0.94,0.0
"Silva, Rodriguez and Stephens",0.246,0.8,0.37,0.14,0.0
Harris-Anderson,0.053,0.62,0.0,-0.71,1.0
Anderson LLC,0.152,0.53,0.06,-0.25,0.0
Johnson-Hoffman,0.003,0.36,0.27,0.6,0.0
"Blackburn, Harris and Bennett",0.099,0.37,0.08,-0.27,0.0
Roberts Group,0.03,0.64,0.02,-0.83,0.0
Moon Inc,0.065,0.9,0.09,0.11,0.0
Castro Group,0.139,0.63,0.06,0.69,0.0
"Stewart, Peterson and Johnson",-0.073,0.55,0.37,0.59,0.0
Smith Inc,0.364,0.68,0.08,-0.65,0.0
Williams-Moore,-0.101,0.47,0.31,0.35,0.0
Mosley Ltd,-0.132,0.15,0.44,-0.56,0.0
Edwards and Sons,0.224,0.55,0.11,-0.56,0.0
"Norman, Chase and Williams",0.169,0.87,0.48,0.75,0.0
"Romero, White and Garcia",0.144,0.24,0.09,-0.5,0.0
"Mcfarland, Miller and Thornton",0.144,0.65,0.67,-0.47,0.0
Hicks PLC,0.048,0.26,0.02,-1.0,0.0
Massey PLC,-0.085,0.53,0.23,0.74,0.0
Sanders PLC,0.061,0.18,0.14,0.59,0.0
"Ashley, Garcia and Martin",-0.052,0.46,0.1,0.25,0.0
Nguyen-Mitchell,0.196,0.7,0.2,0.5,0.0
Hodge and Sons,0.028,0.38,0.24,-0.7,0.0
"Keller, Miller and Rivera",-0.074,0.63,0.0,-0.08,0.0
"Taylor, Morgan and Brown",0.002,0.74,0.04,-0.3,0.0
"Rice, Goodwin and Brown",0.112,0.84,0.25,-0.81,0.0
"Hughes, Martinez and Woods",-0.035,0.29,0.22,-0.03,0.0
Escobar-Torres,-0.073,0.42,0.68,0.84,0.0
Jones Ltd,0.087,0.22,0.29,-0.92,0.0
King Ltd,0.087,0.89,0.6,-0.42,0.0
"Padilla, Norton and Acosta",-0.026,0.84,0.24,-0.58,0.0
Alvarez PLC,-0.021,0.53,0.07,-0.52,0.0
"Acevedo, Murphy and Mendoza",0.085,0.77,0.02,0.82,0.0
Callahan LLC,-0.167,0.52,0.3,-0.06,0.0
Gomez PLC,-0.161,0.6,0.21,-0.07,0.0
"Garcia, Johnson and Krause",-0.058,0.17,0.01,0.52,0.0
Hawkins Group,0.018,0.7,0.09,-0.69,0.0
Higgins-Myers,0.097,0.2,0.63,-0.03,0.0
Schaefer PLC,0.271,0.76,0.14,-0.14,0.0
"Sexton, Smith and Gutierrez",0.179,0.73,0.11,0.19,0.0
Miller Inc,0.026,0.67,0.12,1.0,0.0
Maynard Ltd,0.047,0.13,0.05,0.54,1.0
Blake-Ruiz,-0.1,0.34,0.09,-0.2,0.0
English PLC,0.047,0.31,0.09,0.66,0.0
"Young, Day and Lowe",0.007,0.39,0.01,-0.66,0.0
"Meza, Walsh and Warren",0.098,0.17,0.29,-0.94,0.0
"Sanders, Avery and Eaton",-0.074,0.85,0.11,-0.59,0.0
"Floyd, May and Heath",0.128,0.54,0.35,-0.32,0.0
Welch-Adams,0.28,0.34,0.38,0.02,0.0
Archer Inc,0.034,0.42,0.05,0.23,0.0
"Kim, Owens and Browning",0.11,0.46,0.21,0.82,0.0
"Willis, Miller and King",0.154,0.58,0.13,0.02,0.0
"Welch, Carter and Martinez",-0.01,0.51,0.42,0.0,0.0
Thomas-Barry,0.084,0.84,0.05,-0.9,0.0
Hale Ltd,0.052,0.5,0.23,-0.93,0.0
Cruz PLC,0.065,0.89,0.19,0.1,0.0
Sanders PLC,-0.066,0.78,0.07,-0.12,0.0
Chan LLC,0.054,0.27,0.03,0.68,0.0
Hoffman and Sons,0.125,0.84,0.21,-0.68,0.0
Shah LLC,0.268,0.19,0.27,-0.95,0.0
Bowen-Sandoval,0.194,0.75,0.08,-0.1,0.0
Moore Group,0.373,0.4,0.21,-0.53,0.0
Cox-Fritz,-0.065,0.8,0.1,-0.9,0.0
Jackson-Jones,0.181,0.79,0.25,0.45,0.0
"Perry, Poole and Palmer",0.078,0.74,0.04,-0.78,0.0
Reyes-Guerrero,0.378,0.73,0.44,0.22,0.0
Greer-Sanchez,-0.071,0.34,0.07,-0.44,0.0
Robles LLC,-0.076,0.16,0.09,-0.65,1.0
Ward PLC,-0.04,0.42,0.01,-0.24,0.0
Cowan-Adams,-0.269,0.24,0.02,0.6,0.0
Wiley PLC,-0.029,0.66,0.15,-0.22,0.0
"Garcia, Dean and Boyd",-0.064,0.38,0.06,0.5,0.0
"Owens, Morrison and Roberts",0.073,0.88,0.36,-0.75,0.0
"Richardson, Hamilton and Hobbs",0.101,0.61,0.0,0.55,0.0
West-Torres,0.331,0.76,0.1,-0.53,0.0
Moore Group,0.193,0.21,0.08,0.35,0.0
"Thomas, Brown and Thompson",-0.037,0.79,0.0,0.13,0.0
"Phillips, Taylor and Alvarez",-0.085,0.84,0.03,0.86,0.0
Brewer-Stevens,0.124,0.49,0.11,-0.23,1.0
Villarreal-Harrison,-0.148,0.59,0.14,-0.87,0.0
Peterson-Navarro,0.325,0.71,0.1,-0.96,0.0
"Weiss, Saunders and Thomas",0.227,0.24,0.15,0.65,0.0
Webb-Ellis,-0.02,0.5,0.18,0.05,0.0
"Glover, Collins and Johnston",-0.207,0.42,0.0,0.55,0.0
Cook Inc,0.253,0.22,0.12,-0.53,0.0
Ramirez Inc,0.033,0.39,0.66,-0.31,0.0
Nelson LLC,0.236,0.15,0.15,-0.94,0.0
Anderson LLC,-0.189,0.12,0.23,0.92,0.0
"Obrien, Walsh and Sanchez",-0.04,0.21,0.07,0.34,0.0
Flores-Morales,0.051,0.87,0.3,0.87,0.0
"Weiss, Hernandez and Kelley",0.057,0.54,0.3,-0.47,0.0
"Guzman, Garcia and Curry",-0.018,0.87,0.15,0.22,0.0
Glenn-Mendez,0.143,0.45,0.75,0.36,1.0
"Montoya, Mcdowell and Best",-0.11,0.35,0.03,-0.36,0.0
"Wood, Love and Burns",0.029,0.5,0.0,0.7,0.0
"Johnson, Phillips and Collins",0.068,0.45,0.29,0.89,0.0
"Bryant, Ramirez and Daniels",0.127,0.18,0.33,0.77,0.0
James and Sons,0.157,0.61,0.03,0.48,0.0
James-Brown,-0.119,0.27,0.06,-0.45,0.0
Patel LLC,-0.18,0.6,0.0,-0.44,0.0
Pearson Ltd,0.242,0.62,0.07,0.93,0.0
Frye PLC,0.1,0.22,0.3,-0.98,0.0
Cantu-Evans,-0.062,0.15,0.15,0.43,0.0
"Owens, Carroll and Johnson",0.283,0.72,0.09,0.41,0.0
Bryant and Sons,0.067,0.47,0.09,0.25,0.0
"Chang, Kent and Hancock",0.227,0.15,0.0,0.98,0.0
"Jones, White and Marsh",0.06,0.9,0.07,-0.38,0.0
"Smith, Roberts and Harris",0.359,0.15,0.21,-0.32,0.0
Thompson-Nelson,0.313,0.66,0.73,-0.84,0.0
Patton-Lin,0.013,0.89,0.38,-0.11,0.0
Sheppard-Strong,0.196,0.29,0.0,-0.48,0.0
Cole PLC,0.147,0.21,0.46,-0.31,0.0
Lopez Group,0.255,0.2,0.31,0.67,1.0
Williams-Hernandez,-0.095,0.34,0.3,0.87,0.0
"Weaver, Adams and Lane",0.153,0.18,0.12,-0.63,0.0
"Gonzales, Dorsey and Miller",0.209,0.65,0.1,-0.25,0.0
"Brown, Ramos and Williams",-0.214,0.15,0.07,0.86,1.0
Hunter-Howe,-0.127,0.51,0.01,-0.88,0.0
Mays Ltd,-0.256,0.9,0.05,-0.82,0.0
"Miranda, Fleming and Jennings",0.01,0.75,0.06,-0.67,0.0
Thompson-Mitchell,0.158,0.59,0.13,0.19,0.0
Torres and Sons,0.275,0.35,0.28,-0.7,0.0
Reynolds-Cunningham,0.061,0.6,0.13,0.94,1.0
Williams PLC,0.294,0.52,0.01,-0.11,0.0
Santana PLC,-0.157,0.44,0.63,0.0,0.0
Hart-Johnson,-0.206,0.2,0.57,-0.51,0.0
Chavez and Sons,0.042,0.81,0.31,-0.06,0.0
